organism,taxlevel,Min,Max,Mean,Se,top,metrics,iteration_count,matchtype
Attheya,genus,0.433999425525038,0.433999425525038,0.433999425525038,,1,cor,24,Both
Attheya,genus,0.433338151497078,0.433999425525038,0.433668788511058,0.000467591349393068,1,cor,25,Both
Attheya,genus,0.433338151497078,0.455390192052243,0.44090925635812,0.0125452160112138,1,cor,26,Both
Attheya,genus,0.433338151497078,0.455390192052243,0.439633730123156,0.0105560171726681,1,cor,27,Both
Attheya,genus,0.433338151497078,0.455390192052243,0.438410768654589,0.00954202796475942,1,cor,28,Both
Attheya,genus,0.419738816946028,0.455390192052243,0.435298776703162,0.011443216400063,1,cor,29,Both
Attheya,genus,0.413609662849861,0.455390192052243,0.432200331866976,0.0132787495948389,1,cor,30,Both
Attheya,genus,0.404564275563172,0.455390192052243,0.428745824829001,0.0157036565434308,1,cor,31,Both
Attheya,genus,0.404564275563172,0.455390192052243,0.428668143593036,0.0146912740972174,1,cor,32,Both
Attheya,genus,0.397895445593942,0.455390192052243,0.425590873793127,0.0169277265150853,1,cor,33,Both
Attheya,genus,0.397895445593942,0.455390192052243,0.42594111408368,0.0161010087679302,1,cor,34,Both
Attheya,genus,0.397895445593942,0.455390192052243,0.428310235206295,0.0174076938042481,1,cor,35,Both
Attheya,genus,0.397895445593942,0.455390192052243,0.430330630832922,0.0181890479949472,1,cor,36,Both
Attheya,genus,0.397895445593942,0.455390192052243,0.43052490325024,0.0174905834139351,1,cor,37,Both
Attheya,genus,0.397895445593942,0.46078134223719,0.432541999182703,0.0185768453538986,1,cor,38,Both
Attheya,genus,0.397895445593942,0.462684158735106,0.434425884154728,0.0194647613005566,1,cor,39,Both
Attheya,genus,0.397895445593942,0.462684158735106,0.434579848349887,0.018857362189734,1,cor,40,Both
Attheya,genus,0.397895445593942,0.462684158735106,0.434844218425519,0.0183286797932273,1,cor,41,Both
Attheya,genus,0.383386278259546,0.462684158735106,0.432135905785205,0.0213691677770333,1,cor,42,Both
Attheya,genus,0.383386278259546,0.462684158735106,0.431636069885601,0.020918993659473,1,cor,43,Both
Attheya,genus,0.383386278259546,0.462684158735106,0.431149208380892,0.0205110164925812,1,cor,44,Both
Attheya,taxogroup_middle,0.433999425525038,0.433999425525038,0.433999425525038,,1,cor,24,Both
Attheya,taxogroup_middle,0.433338151497078,0.433999425525038,0.433668788511058,0.000467591349393068,1,cor,25,Both
Attheya,taxogroup_middle,0.433338151497078,0.455390192052243,0.44090925635812,0.0125452160112138,1,cor,26,Both
Attheya,taxogroup_middle,0.433338151497078,0.455390192052243,0.439633730123156,0.0105560171726681,1,cor,27,Both
Attheya,taxogroup_middle,0.433338151497078,0.455390192052243,0.438410768654589,0.00954202796475942,1,cor,28,Both
Attheya,taxogroup_middle,0.419738816946028,0.455390192052243,0.435298776703162,0.011443216400063,1,cor,29,Both
Attheya,taxogroup_middle,0.413609662849861,0.455390192052243,0.432200331866976,0.0132787495948389,1,cor,30,Both
Attheya,taxogroup_middle,0.404564275563172,0.455390192052243,0.428745824829001,0.0157036565434308,1,cor,31,Both
Attheya,taxogroup_middle,0.404564275563172,0.455390192052243,0.428668143593036,0.0146912740972174,1,cor,32,Both
Attheya,taxogroup_middle,0.397895445593942,0.455390192052243,0.425590873793127,0.0169277265150853,1,cor,33,Both
Attheya,taxogroup_middle,0.397895445593942,0.455390192052243,0.42594111408368,0.0161010087679302,1,cor,34,Both
Attheya,taxogroup_middle,0.397895445593942,0.455390192052243,0.428310235206295,0.0174076938042481,1,cor,35,Both
Attheya,taxogroup_middle,0.397895445593942,0.455390192052243,0.430330630832922,0.0181890479949472,1,cor,36,Both
Attheya,taxogroup_middle,0.397895445593942,0.455390192052243,0.43052490325024,0.0174905834139351,1,cor,37,Both
Attheya,taxogroup_middle,0.397895445593942,0.46078134223719,0.432541999182703,0.0185768453538986,1,cor,38,Both
Attheya,taxogroup_middle,0.397895445593942,0.462684158735106,0.434425884154728,0.0194647613005566,1,cor,39,Both
Attheya,taxogroup_middle,0.397895445593942,0.462684158735106,0.434579848349887,0.018857362189734,1,cor,40,Both
Attheya,taxogroup_middle,0.397895445593942,0.462684158735106,0.434844218425519,0.0183286797932273,1,cor,41,Both
Attheya,taxogroup_middle,0.383386278259546,0.462684158735106,0.432135905785205,0.0213691677770333,1,cor,42,Both
Attheya,taxogroup_middle,0.383386278259546,0.462684158735106,0.431636069885601,0.020918993659473,1,cor,43,Both
Attheya,taxogroup_middle,0.383386278259546,0.462684158735106,0.431149208380892,0.0205110164925812,1,cor,44,Both
Aureococcus,genus,0.433999425525038,0.433999425525038,0.433999425525038,,1,cor,24,Both
Aureococcus,genus,0.433338151497078,0.433999425525038,0.433668788511058,0.000467591349393068,1,cor,25,Both
Aureococcus,genus,0.433338151497078,0.455390192052243,0.44090925635812,0.0125452160112138,1,cor,26,Both
Aureococcus,genus,0.433338151497078,0.455390192052243,0.439633730123156,0.0105560171726681,1,cor,27,Both
Aureococcus,genus,0.433338151497078,0.455390192052243,0.438410768654589,0.00954202796475942,1,cor,28,Both
Aureococcus,genus,0.419738816946028,0.455390192052243,0.435298776703162,0.011443216400063,1,cor,29,Both
Aureococcus,genus,0.413609662849861,0.455390192052243,0.432200331866976,0.0132787495948389,1,cor,30,Both
Aureococcus,genus,0.404564275563172,0.455390192052243,0.428745824829001,0.0157036565434308,1,cor,31,Both
Aureococcus,genus,0.404564275563172,0.455390192052243,0.428668143593036,0.0146912740972174,1,cor,32,Both
