organism,taxlevel,Min,Max,Mean,Se,top,metrics,iteration_count
Attheya,genus,1.03298821118515,1.08414158736158,1.05565661435129,0.0132430875710449,1,phs,15
Attheya,genus,1.00946976853509,1.05736373882882,1.03795368999133,0.0124367091340441,2,phs,15
Attheya,genus,0.99233543604577,1.0399477463255,1.02576541631338,0.013762251450396,3,phs,15
Attheya,genus,0.983256400243759,1.02838088213626,1.01417791225684,0.0120499541308008,4,phs,15
Attheya,genus,0.954781814034882,1.02559129398787,0.999745466222341,0.0190489372859039,5,phs,15
Attheya,genus,0.892866131829052,1.01111548758472,0.973954250739789,0.0312780015476062,6,phs,15
Attheya,genus,0.704816218920174,1.00100341227219,0.899372791059497,0.0994333729938694,7,phs,15
Attheya,taxogroup_middle,1.02063161715339,1.11222216623133,1.05835487501893,0.0159415736300192,1,phs,132
Attheya,taxogroup_middle,1.00791516473466,1.07712419419622,1.04237855659331,0.0135181131985798,2,phs,132
Attheya,taxogroup_middle,0.994796323976681,1.06931587396199,1.0314518397706,0.0129605873578387,3,phs,132
Attheya,taxogroup_middle,0.97808943955677,1.06146118281241,1.02400036636263,0.0126837361974697,4,phs,132
Attheya,taxogroup_middle,0.972880294540429,1.05190945083145,1.01559792266637,0.014417158098184,5,phs,132
Attheya,taxogroup_middle,0.920218627378241,1.05030040753393,1.00550955157301,0.0171250638467499,6,phs,132
Attheya,taxogroup_middle,0.832552034881314,1.03743104467284,0.991342371830463,0.0285974025561801,7,phs,132
Attheya,taxogroup_middle,0.789095018901318,1.02886228591592,0.957984152113637,0.0505761609611097,8,phs,132
Attheya,taxogroup_middle,0.552686164081656,1.01300815576881,0.86527533584541,0.105075843208912,9,phs,132
Aureococcus,genus,1.03223649038882,1.10469948821992,1.05657924979879,0.010669846403528,1,phs,132
Aureococcus,genus,0.989167959359133,1.04663856782734,1.02487003656988,0.0061158857084485,10,phs,132
Aureococcus,genus,1.02830753138578,1.08509087265813,1.04903165137413,0.00793301612197896,2,phs,132
Aureococcus,genus,1.02177878176577,1.07255306115015,1.04448425535313,0.00703003450816562,3,phs,132
Aureococcus,genus,1.02169621172242,1.06406054656603,1.04074810928537,0.00657517072901256,4,phs,132
Aureococcus,genus,1.01857588550255,1.05658176233009,1.0377754555968,0.00622993730780631,5,phs,132
Aureococcus,genus,1.0161010253863,1.05194000777432,1.03478221503456,0.00608736559062308,6,phs,132
Aureococcus,genus,1.01487358620722,1.05166126738306,1.03244732299636,0.00591076863369307,7,phs,132
Aureococcus,genus,1.00476391430715,1.05086175174381,1.02996443122965,0.00606043211807345,8,phs,132
Aureococcus,genus,1.00348008311212,1.04709561351728,1.02752379469886,0.00596399323286901,9,phs,132
Aureococcus,taxogroup_middle,1.03025980498818,1.10725071368241,1.05624143583584,0.0109262007006003,1,phs,132
Aureococcus,taxogroup_middle,0.943243143097313,1.04004884126451,1.0158674418831,0.0126522963359334,10,phs,132
Aureococcus,taxogroup_middle,1.02495345011586,1.08317684674853,1.04804350406787,0.00813016387472529,2,phs,132
Aureococcus,taxogroup_middle,1.02359016769633,1.06789064100666,1.04291241836047,0.0072979048860673,3,phs,132
Aureococcus,taxogroup_middle,1.02051329998693,1.06345153147281,1.03868116561392,0.00690075194930263,4,phs,132
Aureococcus,taxogroup_middle,1.01899422482114,1.05519397912052,1.03514664502493,0.00627533390468689,5,phs,132
Aureococcus,taxogroup_middle,1.00938110259357,1.05374190046887,1.0321483872663,0.00632233189063173,6,phs,132
Aureococcus,taxogroup_middle,0.997766908539116,1.04983752631684,1.02890428228859,0.00668815928123099,7,phs,132
Aureococcus,taxogroup_middle,0.987113694667199,1.04384640227949,1.02535443774972,0.00742893250231056,8,phs,132
Aureococcus,taxogroup_middle,0.962751387359896,1.04031440328244,1.0212924638,0.00959445343696345,9,phs,132
Bathycoccus,genus,0.761206906448684,1.08656029093998,0.999696282776973,0.0562590985066725,1,phs,132
Bathycoccus,taxogroup_middle,0.900487344560902,1.09234894089734,1.03973699920301,0.0235989745068286,1,phs,132
Bathycoccus,taxogroup_middle,0.867502000952704,1.07654126573554,1.00665487354847,0.0356012726552337,2,phs,132
Bathycoccus,taxogroup_middle,0.761206906448684,1.04566907061533,0.956081275109146,0.0574317446389972,3,phs,132
Cafeteria,genus,0.609571748446855,1.08718485300439,1.00147299516161,0.0579348143591068,1,phs,132
Cafeteria,taxogroup_middle,1.03105020831921,1.11829458841471,1.06683510677341,0.0159284200123697,1,phs,132
Cafeteria,taxogroup_middle,0.980213504924924,1.02834026870986,1.00715448387174,0.00868259738601323,10,phs,132
Cafeteria,taxogroup_middle,1.02710655465646,1.08853108138527,1.05208908489008,0.0128490732076853,2,phs,132
Cafeteria,taxogroup_middle,1.02252340737203,1.07165951826816,1.04383265380107,0.0104097678758456,3,phs,132
Cafeteria,taxogroup_middle,1.01127129470329,1.06841308660122,1.03726601016295,0.00982109795065931,4,phs,132
Cafeteria,taxogroup_middle,1.00910552107522,1.05751949181398,1.03152970263361,0.0090584955589645,5,phs,132
Cafeteria,taxogroup_middle,1.00218759709232,1.047748520576,1.02678716341493,0.00871877877512493,6,phs,132
Cafeteria,taxogroup_middle,1.00008236148013,1.04645653248308,1.02187353035308,0.00881949391132612,7,phs,132
Cafeteria,taxogroup_middle,0.995243396166518,1.04277326982922,1.0166696533255,0.00875159784096066,8,phs,132
Cafeteria,taxogroup_middle,0.987701735312663,1.03354376180003,1.01226318574039,0.00843529595447475,9,phs,132
Chaetoceros,genus,1.03827440516642,1.1876771040906,1.06889972600353,0.0187276431211875,1,phs,132
