organism,taxlevel,Min,Max,Mean,Se,top,metrics,iteration_count
Attheya,genus,0.0799434377418916,0.0799434377418916,0.0799434377418916,,1,rho,1
Attheya,genus,0.0453579048347729,0.0799434377418916,0.0626506712883323,0.0244556648495741,1,rho,2
Attheya,genus,0.0453579048347729,0.173146980773561,0.0994827744500752,0.0660972861891407,1,rho,3
Attheya,genus,0.00586454987775453,0.173146980773561,0.076078218306995,0.0714399082264095,1,rho,4
Attheya,genus,0.00586454987775453,0.173146980773561,0.062284760678396,0.0691306208008299,1,rho,5
Attheya,genus,0.00586454987775453,0.173146980773561,0.0568336526365493,0.063257581831349,1,rho,6
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0486429230380039,0.0616783409481827,1,rho,7
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0597543876317774,0.0651803285357168,1,rho,8
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0544519213145385,0.0630115954878946,1,rho,9
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0504692089736387,0.0607282371723699,1,rho,10
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0576746894009227,0.062371751146853,1,rho,11
Attheya,genus,-0.00050145455326911,0.173146980773561,0.053275254364777,0.0613908619135459,1,rho,12
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0526048418596946,0.0588269579982795,1,rho,13
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0574354768004625,0.0593388626212666,1,rho,14
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,15
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,16
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,17
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,18
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,19
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,20
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,21
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,22
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,23
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,24
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,25
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,26
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,27
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,28
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,29
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,30
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,31
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,32
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,33
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,34
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,35
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,36
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,37
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,38
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,39
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,40
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,41
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,42
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,43
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,44
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,45
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,46
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,47
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,48
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,49
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,50
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,51
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,52
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,53
Attheya,genus,-0.00050145455326911,0.173146980773561,0.0557883754530927,0.0575350986178987,1,rho,54
