organism,taxlevel,Min,Max,Mean,Se,top,metrics,iteration_count
Cylindrotheca,taxogroup_middle,0.0616023038393698,0.214458356937633,0.113813209148013,0.024271062359878,3,cor,131
Cylindrotheca,taxogroup_middle,0.0472479613135777,0.181398503668752,0.100928415059943,0.0218733233324085,4,cor,131
Cylindrotheca,taxogroup_middle,0.0462578895719801,0.158679520576703,0.091629540095552,0.0192299147053998,5,cor,131
Cylindrotheca,taxogroup_middle,0.0443385030889808,0.127748524871759,0.0839674405420606,0.0166929324966427,6,cor,131
Cylindrotheca,taxogroup_middle,0.0348956946275632,0.123174447410102,0.077196832256009,0.0161410088797038,7,cor,131
Cylindrotheca,taxogroup_middle,0.0338827430436503,0.119635342856444,0.0715714248277686,0.015082282996619,8,cor,131
Cylindrotheca,taxogroup_middle,0.0293229217942115,0.11002757180736,0.0659448465510862,0.0136809853723528,9,cor,131
Emiliania,taxogroup_middle,-0.0417959691585289,0.179072130555286,0.0159964881479352,0.0397082845511176,1,cor,131
Emiliania,taxogroup_middle,-0.0545610350819733,0.0629638985537187,-0.0189560073532749,0.019651829086998,2,cor,131
Florenciella,taxogroup_2,0.0436840759079244,0.289061697376468,0.150386149529517,0.042860364435685,1,cor,131
Florenciella,taxogroup_2,-0.00747650471985848,0.0673488225840407,0.0280941479015973,0.01580934577671,10,cor,131
Florenciella,taxogroup_2,0.0422564703922297,0.237581017713435,0.114750122772699,0.0319493241815899,2,cor,131
Florenciella,taxogroup_2,0.0217159823594581,0.194737421269009,0.0934413393893081,0.0266535091269392,3,cor,131
Florenciella,taxogroup_2,0.0193467696909061,0.163452771791151,0.0778029181115288,0.0237787993787921,4,cor,131
Florenciella,taxogroup_2,0.00767386079508886,0.139752273484047,0.0659525705784593,0.0215268891809594,5,cor,131
Florenciella,taxogroup_2,0.00290141823898427,0.126684515172805,0.0561676719475491,0.0193905151298176,6,cor,131
Florenciella,taxogroup_2,-0.00505171263636913,0.121277310193806,0.0475772946897124,0.0182007678752774,7,cor,131
Florenciella,taxogroup_2,-0.00692987098436955,0.114821020910188,0.0399872551627661,0.017433283406242,8,cor,131
Florenciella,taxogroup_2,-0.00729181222642573,0.0800643594000453,0.033458846306642,0.0162345427625276,9,cor,131
Florenciella,taxogroup_middle,-0.00505171263636913,0.265322164191445,0.112545344490408,0.0478033690141291,1,cor,131
Florenciella,taxogroup_middle,-0.0182964451246498,0.0335662236851385,-0.00619741431258302,0.00741420927050038,10,cor,131
Florenciella,taxogroup_middle,-0.00692987098436955,0.186016384283193,0.0720325532403845,0.0363208189761956,2,cor,131
Florenciella,taxogroup_middle,-0.00747650471985848,0.164074055966248,0.0480867911319581,0.0287409002723982,3,cor,131
Florenciella,taxogroup_middle,-0.0121438004854896,0.163452771791151,0.0313269782196765,0.0251858218467505,4,cor,131
Florenciella,taxogroup_middle,-0.0130861460492747,0.115140110999271,0.0198185533357865,0.0215297005001601,5,cor,131
Florenciella,taxogroup_middle,-0.01593134805374,0.0769878068126446,0.0104851812623568,0.0166849972149243,6,cor,131
Florenciella,taxogroup_middle,-0.016455281776456,0.0673488225840407,0.0046766015104882,0.0137481607326593,7,cor,131
Florenciella,taxogroup_middle,-0.0168539950084772,0.0509231879662016,-2.77166773295164e-05,0.0112529693183688,8,cor,131
Florenciella,taxogroup_middle,-0.0175892149883099,0.0425380638461655,-0.00329936463868551,0.00940989431375069,9,cor,131
Fragilariopsis,genus,-0.00544201834200278,0.310024168418018,0.107982467696295,0.0595536580460092,1,cor,131
Fragilariopsis,genus,-0.022902346077711,0.00279594002485785,-0.0123087570982436,0.00341523919404227,10,cor,131
Fragilariopsis,genus,-0.00876459959223608,0.237159546379847,0.0588270327189196,0.0403455576284219,2,cor,131
Fragilariopsis,genus,-0.0110714996011481,0.150798295943473,0.0309406995303609,0.029768097001079,3,cor,131
Fragilariopsis,genus,-0.0136373029214909,0.122455111688862,0.0139845027528443,0.022359573949465,4,cor,131
Fragilariopsis,genus,-0.015060579773176,0.0650699059867777,0.0037638092451509,0.0158039936080005,5,cor,131
Fragilariopsis,genus,-0.0164282344828394,0.0529051929636014,-0.00212488198567861,0.0115434049316647,6,cor,131
Fragilariopsis,genus,-0.0171355540995259,0.0477795447951,-0.0059184320672558,0.00845341772258957,7,cor,131
Fragilariopsis,genus,-0.0194121478750467,0.0453451050720735,-0.0087093880132691,0.00616837039317109,8,cor,131
Fragilariopsis,genus,-0.0224082017778941,0.0217714670472217,-0.0108185916617593,0.00425957501992882,9,cor,131
Fragilariopsis,taxogroup_middle,0.0857354482043836,0.375406737858488,0.191265743492127,0.0489680408468133,1,cor,131
Fragilariopsis,taxogroup_middle,0.00942597754321585,0.125285683182575,0.0596137790472518,0.016808975186422,10,cor,131
Fragilariopsis,taxogroup_middle,0.0731111966610201,0.323056654285484,0.151764053077917,0.0378411269679589,2,cor,131
Fragilariopsis,taxogroup_middle,0.0510481960420165,0.24303854343234,0.127536521170512,0.0316902428429027,3,cor,131
